# Digest = ISD 2024 edition (both columns); IMF = PIP reporter CYM (S1). Digest Total includes Cayman-issued securities (master funds); IMF world excludes domestic. US$ bn.
jurisdiction,year,digest_all_long,digest_all_short,digest_all_net,imf_all_long,imf_all_short,imf_all_net,gross_long_gap,gross_short_gap,net_gap,digest_lt_long,digest_lt_short,digest_lt_net,imf_lt_long,imf_lt_short,imf_lt_net
Germany,2023,81.7,-110.3,-28.6,82.7,-109.4,-26.7,-1.0,-0.9,-1.9,23.9,-90.5,-66.6,24.7,-89.6,-65.0
Germany,2024,159.0,-111.3,47.7,98.6,-50.0,48.6,60.4,-61.3,-0.9,113.3,-81.3,31.9,55.0,-22.4,32.7
France,2023,83.0,-57.9,25.1,85.8,-57.7,28.0,-2.8,-0.2,-3.0,33.1,-41.2,-8.1,36.0,-41.0,-5.0
France,2024,178.0,-109.9,68.1,108.9,-38.7,70.2,69.1,-71.2,-2.1,127.4,-88.4,39.0,61.2,-20.0,41.2
United States,2023,3858.7,-153.9,3704.8,3855.3,-153.7,3701.5,3.5,-0.2,3.3,1758.3,-8.3,1750.1,1784.2,-8.2,1775.9
United States,2024,5828.9,-1598.5,4230.4,4509.8,-226.3,4283.5,1319.1,-1372.2,-53.1,2633.4,-541.5,2091.9,2167.7,-24.4,2143.3
United Kingdom,2023,217.1,-35.6,181.5,216.4,-34.2,182.2,0.8,-1.4,-0.6,73.5,-19.8,53.7,74.8,-18.4,56.4
United Kingdom,2024,733.4,-148.3,585.2,617.1,-30.6,586.5,116.3,-117.6,-1.3,237.8,-119.4,118.5,123.7,-4.0,119.7
Japan,2023,207.7,-77.9,129.8,202.2,-77.9,124.3,5.5,-0.0,5.5,35.8,-73.1,-37.2,30.9,-73.1,-42.1
Japan,2024,299.1,-193.9,105.2,173.9,-68.3,105.6,125.3,-125.6,-0.3,129.0,-169.5,-40.5,26.0,-66.1,-40.1
Canada,2023,100.6,-14.6,86.0,100.5,-14.6,85.9,0.1,-0.0,0.1,25.3,-4.3,21.0,25.6,-4.3,21.3
Canada,2024,146.5,-27.6,119.0,124.7,-9.3,115.4,21.8,-18.3,3.5,76.5,-15.8,60.7,57.6,-0.8,56.8
Netherlands,2023,68.2,-3.8,64.4,68.6,-3.8,64.8,-0.4,0.0,-0.4,22.4,-0.0,22.3,22.7,-0.0,22.7
Netherlands,2024,77.1,-4.1,73.1,68.8,-4.0,64.8,8.3,-0.1,8.2,24.8,-0.1,24.6,25.7,-0.1,25.6
Ireland,2023,72.7,-0.6,72.1,,,,,,,22.0,-0.1,21.9,,,
Ireland,2024,89.2,-0.6,88.6,,,,,,,24.5,-0.1,24.4,,,
China,2023,306.5,-1.1,305.5,,,,,,,19.4,-0.0,19.4,,,
China,2024,287.0,-3.3,283.7,,,,,,,17.8,-0.0,17.8,,,
Total,2023,7801.1,-529.5,7271.7,5689.9,-525.8,5164.0,2111.3,-3.6,2107.6,2201.5,-272.3,1929.2,2213.3,-269.1,1944.2
Total,2024,11049.7,-2395.6,8654.1,6891.2,-475.0,6416.3,4158.4,-1920.6,2237.8,3789.1,-1163.3,2625.7,2819.8,-145.2,2674.6
