year,last_ecb_reference_date,usd_per_eur,source
2015,2015-12-31,1.0887,"ECB EXR.D.USD.EUR.SP00.A, file EXR-HIST_2026-09-04"
2016,2016-12-30,1.0541,"ECB EXR.D.USD.EUR.SP00.A, file EXR-HIST_2026-09-04"
2017,2017-12-29,1.1993,"ECB EXR.D.USD.EUR.SP00.A, file EXR-HIST_2026-09-04"
2018,2018-12-31,1.145,"ECB EXR.D.USD.EUR.SP00.A, file EXR-HIST_2026-09-04"
2019,2019-12-31,1.1234,"ECB EXR.D.USD.EUR.SP00.A, file EXR-HIST_2026-09-04"
2020,2020-12-31,1.2271,"ECB EXR.D.USD.EUR.SP00.A, file EXR-HIST_2026-09-04"
2021,2021-12-31,1.1326,"ECB EXR.D.USD.EUR.SP00.A, file EXR-HIST_2026-09-04"
2022,2022-12-30,1.0666,"ECB EXR.D.USD.EUR.SP00.A, file EXR-HIST_2026-09-04"
2023,2023-12-29,1.105,"ECB EXR.D.USD.EUR.SP00.A, file EXR-HIST_2026-09-04"
2024,2024-12-31,1.0389,"ECB EXR.D.USD.EUR.SP00.A, file EXR-HIST_2026-09-04"
