indicator,counterpart,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
P_F3SNP_L_P_USD,G001,-34.69,-212.27,-208.02,-292.25,-204.40,-217.80,-412.04,-388.54,-269.13,-145.15
P_F3SNP_L_P_USD,DEU,-26.25,-99.58,-100.66,-141.47,-110.86,-100.61,-160.21,-186.35,-89.64,-22.36
P_F3SNP_L_P_USD,FRA,-2.27,-3.42,-45.28,-49.76,-61.90,-65.49,-73.63,-55.50,-40.99,-19.97
P_F3SNP_L_P_USD,ITA,,-15.16,-4.93,-29.03,-0.71,-9.58,-9.46,-47.44,-27.64,-1.15
P_F3SNP_L_P_USD,ESP,,-0.84,-5.79,-6.02,-1.87,-6.85,-5.91,-9.71,-2.11,-2.38
P_F3SNP_L_P_USD,NLD,,-1.93,-4.38,-1.24,-0.41,-0.97,-0.34,-3.12,-0.03,-0.08
P_F3SNP_L_P_USD,BEL,,-1.37,-2.36,-3.51,-2.70,-4.41,-0.96,-0.81,-0.14,-1.10
P_F3SNP_L_P_USD,AUT,,,-0.76,-0.52,-0.34,-3.96,-2.24,-0.47,-0.11,-0.80
P_F3SNP_L_P_USD,USA,-1.16,-39.74,-5.84,-32.10,-5.58,-9.47,-64.56,-9.58,-8.24,-24.36
P_F3SNP_L_P_USD,GBR,-2.65,-32.84,-32.13,-18.89,-13.77,-6.78,-62.67,-29.09,-18.38,-3.99
P_F3SNP_L_P_USD,JPN,-1.45,-11.09,-0.61,-2.06,-1.37,-3.78,-3.47,-36.21,-73.07,-66.06
P_F3SNP_L_P_USD,CAN,-0.86,-4.95,-2.65,-1.80,-4.17,-4.64,-19.71,-8.60,-4.31,-0.79
P_TSNP_P_USD,G001,-78.70,-349.95,-310.35,-503.18,-335.67,-457.79,-589.30,-578.91,-525.84,-474.97
P_TSNP_P_USD,DEU,-29.86,-112.77,-104.36,-150.31,-127.46,-112.87,-169.23,-196.46,-109.40,-50.02
P_TSNP_P_USD,FRA,-3.64,-10.78,-50.45,-57.43,-68.94,-90.77,-85.43,-68.64,-57.72,-38.66
P_TSNP_P_USD,ITA,-0.06,-30.97,-11.29,-35.53,-5.70,-19.49,-15.54,-57.36,-45.24,-16.13
P_TSNP_P_USD,ESP,-0.03,-1.72,-5.80,-8.14,-12.73,-11.52,-11.08,-16.87,-13.73,-13.80
P_TSNP_P_USD,NLD,-0.74,-5.42,-5.59,-2.06,-1.63,-2.35,-2.16,-6.61,-3.76,-3.97
P_TSNP_P_USD,BEL,-0.03,-2.24,-2.40,-4.32,-3.22,-6.05,-2.46,-4.95,-2.36,-3.99
P_TSNP_P_USD,AUT,-0.01,,-0.76,-0.52,-0.36,-5.92,-3.77,-1.70,-1.63,-3.11
P_TSNP_P_USD,USA,-26.82,-110.23,-66.11,-134.40,-74.69,-137.07,-154.27,-114.14,-153.74,-226.31
P_TSNP_P_USD,GBR,-7.27,-45.55,-37.51,-31.36,-22.21,-34.61,-87.11,-43.31,-34.18,-30.64
P_TSNP_P_USD,JPN,-2.39,-13.57,-4.51,-5.74,-2.89,-5.18,-7.02,-42.18,-77.92,-68.31
P_TSNP_P_USD,CAN,-3.81,-8.04,-5.50,-54.75,-7.30,-11.43,-28.76,-18.37,-14.58,-9.26
P_F3_L_P_USD,G001,866.24,938.41,844.59,1249.21,1296.36,1615.54,1163.94,1421.21,2213.31,2819.78
P_F3_L_P_USD,DEU,33.71,20.06,9.77,23.24,7.82,12.81,14.56,14.48,24.67,55.05
P_F3_L_P_USD,FRA,34.48,16.81,17.14,23.08,25.58,34.08,37.45,39.56,35.99,61.16
P_F3_L_P_USD,ITA,4.51,11.21,17.02,15.78,44.69,36.51,12.67,9.94,14.93,62.55
P_F3_L_P_USD,ESP,5.48,3.01,3.46,4.64,5.77,4.69,3.93,6.39,17.80,24.44
P_F3_L_P_USD,NLD,10.30,9.81,13.43,14.62,12.38,13.56,16.47,14.86,22.73,25.72
P_F3_L_P_USD,BEL,0.28,0.87,0.34,1.33,0.63,1.83,1.82,5.74,3.33,4.58
P_F3_L_P_USD,AUT,0.49,0.44,0.73,1.44,1.73,7.05,0.92,3.58,4.01,5.86
P_F3_L_P_USD,USA,569.64,684.93,622.34,944.50,975.53,1157.84,801.54,1114.13,1784.16,2167.66
