indicator,counterpart,holder_sector,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
P_F3_L_P_USD,DEU,S1,33.7,20.1,9.8,23.2,7.8,12.8,14.6,14.5,24.7,55.1
P_F3_L_P_USD,DEU,S122,0.4,0.5,0.6,0.7,0.7,1.2,1.0,0.8,0.7,0.7
P_F3_L_P_USD,DEU,S12P,33.4,19.5,9.1,22.5,7.1,11.6,13.5,13.5,23.9,54.3
P_F3_L_P_USD,DEU,S12QU,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1
P_F3_L_P_USD,DEU,S12R,33.4,19.6,9.1,22.5,7.1,11.6,13.5,13.7,24.0,54.4
P_F3_L_P_USD,G001,S1,866.2,938.4,844.6,1249.2,1296.4,1615.5,1163.9,1421.2,2213.3,2819.8
P_F3_L_P_USD,G001,S122,51.3,48.9,50.0,48.3,47.9,51.5,54.2,58.6,58.6,63.4
P_F3_L_P_USD,G001,S123,,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.1
P_F3_L_P_USD,G001,S12P,815.0,875.8,783.0,1189.7,1237.5,1551.0,1096.5,1327.7,2114.9,2720.2
P_F3_L_P_USD,G001,S12QU,,13.7,11.6,11.1,10.9,12.9,13.1,34.7,39.7,36.1
P_F3_L_P_USD,G001,S12R,815.0,889.5,794.5,1200.9,1248.5,1564.0,1109.7,1362.6,2154.8,2756.4
P_F3SNP_L_P_USD,DEU,S1,-26.3,-99.6,-100.7,-141.5,-110.9,-100.6,-160.2,-186.3,-89.6,-22.4
P_F3SNP_L_P_USD,G001,S1,-34.7,-212.3,-208.0,-292.3,-204.4,-217.8,-412.0,-388.5,-269.1,-145.1
