indicator,counterpart,2019-S1,2019-S2,2020-S1,2020-S2,2021-S1,2021-S2,2022-S1,2022-S2,2023-S1,2023-S2,2024-S1,2024-S2,2025-S1
P_F3_L_P_USD,DEU,23.25,7.82,7.99,12.81,13.20,14.56,14.76,14.48,14.48,24.67,24.66,55.05,54.97
P_F3_L_P_USD,FRA,23.06,25.58,25.46,34.08,34.61,37.45,39.15,39.56,39.81,35.99,36.18,61.16,60.28
P_F3_L_P_USD,G001,1258.11,1296.36,1305.75,1615.54,1638.61,1163.94,1253.38,1421.21,1377.28,2213.31,2221.51,2819.78,2820.25
P_F3_L_P_USD,ITA,15.79,44.69,44.69,36.51,36.53,12.67,15.98,9.94,9.95,14.93,14.93,62.55,62.56
P_F3_L_P_USD,JPN,20.33,42.32,42.32,49.00,49.08,63.67,72.18,31.67,31.66,30.95,30.96,26.00,25.63
P_F3_L_P_USD,USA,948.07,975.53,977.71,1157.84,1168.79,801.54,854.60,1114.13,1062.31,1784.16,1786.91,2167.66,2166.58
P_F3SNP_L_P_USD,DEU,-141.47,-110.86,-110.86,-100.61,-100.61,-160.21,-175.74,-186.35,-168.81,-89.64,-89.64,-22.36,-22.36
P_F3SNP_L_P_USD,FRA,-49.76,-61.90,-61.90,-65.49,-65.55,-73.63,-81.01,-55.50,-58.40,-40.99,-40.99,-19.97,-19.97
P_F3SNP_L_P_USD,G001,-292.24,-204.40,-204.40,-217.80,-218.19,-412.04,-450.29,-388.54,-351.75,-269.13,-269.13,-145.15,-145.15
P_F3SNP_L_P_USD,ITA,-29.03,-0.71,-0.71,-9.58,-9.58,-9.46,-9.46,-47.44,-37.81,-27.64,-27.64,-1.15,-1.15
P_F3SNP_L_P_USD,JPN,-2.06,-1.37,-1.37,-3.78,-3.78,-3.47,-3.47,-36.21,-29.27,-73.07,-73.07,-66.06,-66.06
P_F3SNP_L_P_USD,USA,-32.09,-5.58,-5.58,-9.47,-9.75,-64.56,-68.34,-9.58,-9.58,-8.24,-8.24,-24.36,-24.36
P_TOTINV_P_USD,DEU,46.89,27.96,28.09,38.90,38.97,47.86,49.97,52.08,51.69,82.74,82.82,98.58,98.53
P_TOTINV_P_USD,FRA,58.85,56.34,56.22,62.37,62.90,72.51,74.80,89.01,89.31,85.76,85.95,108.87,108.02
P_TOTINV_P_USD,G001,2360.59,2297.99,2308.79,3325.77,3367.36,2876.40,3053.64,2886.52,2558.57,5689.87,5703.71,6891.25,6895.58
P_TOTINV_P_USD,ITA,27.21,61.01,61.01,49.91,49.94,29.77,33.25,31.71,29.25,41.99,41.99,86.66,86.67
P_TOTINV_P_USD,JPN,87.09,106.54,106.53,254.06,254.18,149.85,160.63,168.41,127.15,202.19,202.21,173.86,173.48
P_TOTINV_P_USD,USA,1646.77,1601.28,1608.62,2196.63,2224.42,1928.88,2033.06,1966.80,1721.81,3855.27,3859.66,4509.78,4513.34
P_TSNP_P_USD,DEU,-150.45,-127.46,-127.46,-112.87,-112.91,-169.23,-186.41,-196.46,-178.78,-109.40,-109.40,-50.02,-50.02
P_TSNP_P_USD,FRA,-57.43,-68.94,-68.94,-90.77,-90.83,-85.43,-94.54,-68.64,-71.52,-57.72,-57.72,-38.66,-38.66
P_TSNP_P_USD,G001,-506.80,-335.67,-335.80,-457.79,-458.99,-589.30,-648.51,-578.91,-542.55,-525.84,-525.84,-474.97,-474.97
P_TSNP_P_USD,ITA,-35.53,-5.70,-5.70,-19.49,-19.51,-15.54,-15.54,-57.36,-47.73,-45.24,-45.24,-16.13,-16.13
P_TSNP_P_USD,JPN,-5.96,-2.89,-2.89,-5.18,-5.35,-7.02,-7.02,-42.18,-35.25,-77.92,-77.92,-68.31,-68.31
P_TSNP_P_USD,USA,-137.42,-74.69,-74.82,-137.07,-137.34,-154.27,-173.68,-114.14,-114.71,-153.74,-153.74,-226.31,-226.31
