edition,source,column_year,jurisdiction,side,instrument,value_usd_bn,unit_published,note
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,United States,long,total,1117.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,United States,long,equities,356.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,United States,long,master_funds,120.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,United States,long,st_debt,90.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,United States,long,lt_debt,551.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Cayman Islands,long,total,1011.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Cayman Islands,long,equities,82.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Cayman Islands,long,master_funds,917.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Cayman Islands,long,st_debt,2.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Cayman Islands,long,lt_debt,10.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,United Kingdom,long,total,68.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,United Kingdom,long,equities,17.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,United Kingdom,long,master_funds,1.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,United Kingdom,long,st_debt,4.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,United Kingdom,long,lt_debt,46.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Japan,long,total,59.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Japan,long,equities,27.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Japan,long,master_funds,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Japan,long,st_debt,19.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Japan,long,lt_debt,13.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Germany,long,total,46.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Germany,long,equities,6.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Germany,long,master_funds,0.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Germany,long,st_debt,7.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,Germany,long,lt_debt,33.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,France,long,total,42.0,US$ bn,
ISD 2015,ISD 2015 PDF InvestmentsStatisti_1499166938.pdf p.10 Fig.9,2015,France,long,equities,6.0,US$ bn,
