jurisdiction,year,long_total_current_edition,long_total_next_edition,long_lt_debt_current_edition,long_lt_debt_next_edition,long_st_debt_current_edition,long_st_debt_next_edition,long_equities_current_edition,long_equities_next_edition,short_total_current_edition,short_total_next_edition,short_lt_debt_current_edition,short_lt_debt_next_edition,short_st_debt_current_edition,short_st_debt_next_edition,short_equities_current_edition,short_equities_next_edition
Germany,2015,46.0,46.0,33.0,33.0,7.0,7.0,6.0,6.0,-29.85,-29.85,-26.25,-26.25,-2.01,-2.01,-1.59,-1.59
Germany,2016,52.0,52.0,19.0,19.0,26.0,26.0,7.0,7.0,-116.41,-117.0,-103.18,-103.0,-12.6,-13.0,-0.63,-1.0
Germany,2017,20.0,20.0,8.0,8.0,3.0,3.0,9.0,9.0,-105.0,-105.0,-101.0,-101.0,-3.0,-3.0,-1.0,-1.0
Germany,2018,42.0,42.0,4.0,20.0,1.0,11.0,11.0,11.0,-150.0,-150.0,-141.0,-141.0,-8.0,-8.0,-1.0,-1.0
Germany,2019,23.0,23.0,5.0,5.0,11.0,11.0,7.0,7.0,-113.0,-113.0,-98.0,-98.0,-14.0,-14.0,-1.0,-1.0
Germany,2020,37.0,37.0,11.0,11.0,18.0,18.0,8.0,8.0,-113.0,-113.0,-101.0,-101.0,-12.0,-12.0,0.0,0.0
Germany,2021,46.0,75.0,13.0,16.0,26.0,26.0,7.0,32.0,-185.0,-186.0,-175.0,-176.0,-10.0,-10.0,0.0,-0.0
Germany,2022,76.0,76.892,16.0,16.459,33.0,32.903,27.0,27.53,-174.0,-173.695,-164.0,-163.723,-9.0,-9.371,-1.0,-0.601
Germany,2023,81.714,81.714,23.87,23.87,22.923,22.923,34.91,34.91,-110.271,-110.271,-90.511,-90.511,-19.163,-19.163,-0.597,-0.597
Germany,2024,158.955,,113.255,,9.303,,36.383,,-111.273,,-81.313,,-28.322,,-1.638,
France,2015,42.0,42.0,35.0,35.0,1.0,1.0,6.0,6.0,-3.65,-3.65,-2.28,-2.28,-1.34,-1.34,-0.03,-0.03
France,2016,36.0,36.0,17.0,17.0,14.0,14.0,5.0,5.0,-45.22,-45.0,-37.82,-38.0,-7.28,-7.0,-0.12,0.0
France,2017,40.0,40.0,17.0,17.0,15.0,15.0,8.0,8.0,-51.0,-51.0,-45.0,-45.0,-5.0,-5.0,-1.0,-1.0
France,2018,58.0,58.0,23.0,23.0,27.0,27.0,8.0,8.0,-57.0,-58.0,-50.0,-50.0,-8.0,-8.0,0.0,0.0
France,2019,55.0,55.0,25.0,25.0,22.0,22.0,8.0,8.0,-69.0,-69.0,-62.0,-62.0,-7.0,-7.0,0.0,0.0
France,2020,59.0,59.0,31.0,31.0,16.0,16.0,12.0,12.0,-91.0,-91.0,-66.0,-66.0,-25.0,-25.0,0.0,0.0
France,2021,70.0,89.0,35.0,39.0,29.0,29.0,6.0,21.0,-94.0,-94.0,-81.0,-81.0,-13.0,-13.0,0.0,0.0
France,2022,106.0,105.544,40.0,40.214,38.0,37.596,28.0,27.627,-69.0,-68.602,-55.0,-55.486,-13.0,-12.917,0.0,-0.199
France,2023,82.985,82.984,33.103,33.103,16.136,16.136,33.629,33.629,-57.929,-57.929,-41.194,-41.194,-16.713,-16.713,-0.022,-0.022
France,2024,177.986,,127.449,,7.808,,42.586,,-109.908,,-88.445,,-21.256,,-0.207,
United States,2015,1117.0,1117.0,551.0,551.0,90.0,90.0,356.0,356.0,-26.83,-26.83,-1.16,-1.16,-13.95,-13.95,-11.72,-11.72
United States,2016,1168.0,1168.0,660.0,660.0,64.0,64.0,333.0,333.0,-113.99,-114.0,-43.34,-43.0,-53.05,-53.0,-17.6,-18.0
United States,2017,1312.0,1312.0,606.0,606.0,107.0,107.0,473.0,473.0,-67.0,-67.0,-6.0,-6.0,-48.0,-48.0,-13.0,-13.0
United States,2018,1612.0,1611.0,928.0,928.0,179.0,179.0,375.0,375.0,-137.0,-138.0,-32.0,-32.0,-91.0,-91.0,-15.0,-15.0
United States,2019,1567.0,1567.0,954.0,954.0,169.0,169.0,337.0,337.0,-75.0,-75.0,-6.0,-6.0,-50.0,-5.0,-19.0,-19.0
United States,2020,2121.0,2121.0,1102.0,1102.0,163.0,163.0,671.0,671.0,-137.0,-137.0,-10.0,-10.0,-83.0,-83.0,-44.0,-44.0
United States,2021,1882.0,3132.0,752.0,900.0,156.0,163.0,757.0,1654.0,-170.0,-194.0,-65.0,-77.0,-67.0,-79.0,-38.0,-38.0
United States,2022,2912.0,2911.623,1096.0,1095.878,144.0,143.879,1270.0,1269.866,-137.0,-137.774,-16.0,-16.301,-88.0,-87.832,-33.0,-33.641
United States,2023,3858.738,3858.738,1758.332,1758.332,159.397,159.397,1463.732,1463.732,-153.897,-153.897,-8.262,-8.262,-112.499,-112.499,-33.136,-33.136
United States,2024,5828.881,,2633.421,,273.771,,2447.014,,-1598.473,,-541.541,,-237.155,,-819.777,
United Kingdom,2015,68.0,68.0,46.0,46.0,4.0,4.0,17.0,17.0,-7.27,-7.27,-2.65,-2.65,-4.59,-4.59,-0.03,-0.03
United Kingdom,2016,78.0,78.0,36.0,36.0,24.0,24.0,17.0,17.0,-49.2,-48.0,-36.44,-36.0,-12.28,-12.0,-0.48,0.0
United Kingdom,2017,71.0,71.0,32.0,32.0,21.0,21.0,18.0,18.0,-37.0,-37.0,-32.0,-32.0,-5.0,-5.0,0.0,0.0
United Kingdom,2018,80.0,80.0,52.0,52.0,8.0,8.0,20.0,20.0,-31.0,-31.0,-19.0,-19.0,-12.0,-12.0,0.0,0.0
United Kingdom,2019,59.0,59.0,37.0,37.0,7.0,7.0,15.0,15.0,-22.0,-22.0,-14.0,-14.0,-8.0,-8.0,0.0,0.0
