edition,year,month,raw_sum_pct,n_series,hedge_funds,asset_managers,banks,official,insurers,pension,corporate_retail
2016,2015,1,100.0,7,18.076,29.252,41.691,2.721,1.652,0.292,6.317
2016,2015,2,100.0,7,13.8,37.804,29.64,7.677,1.166,0.777,9.135
2016,2015,3,100.1,7,10.194,45.34,32.913,4.369,1.845,0.097,5.243
2016,2015,4,100.0,7,8.358,27.891,42.468,8.649,2.527,0.875,9.232
2016,2015,5,100.0,7,28.96,36.443,23.421,2.041,2.527,0.486,6.122
2016,2015,6,100.0,7,14.772,47.425,17.979,13.022,1.361,,5.442
2016,2015,7,100.0,7,9.913,50.826,13.411,9.913,2.818,0.583,12.536
2016,2015,8,100.0,7,11.176,59.961,16.229,2.235,2.527,0.389,7.483
2016,2015,9,100.0,7,12.148,40.719,30.126,3.887,1.458,0.097,11.565
2016,2015,10,100.1,7,24.272,35.825,27.67,3.398,2.136,0.097,6.602
2016,2015,11,100.0,7,13.217,25.462,45.287,4.082,1.652,5.053,5.248
2016,2015,12,100.0,7,12.342,56.657,23.324,,3.304,,4.373
2016,2016,1,100.0,7,14.966,38.581,31.001,3.304,3.013,0.777,8.358
2016,2016,2,100.0,7,15.355,48.202,18.562,9.718,1.166,,6.997
2016,2016,3,100.0,7,16.035,31.39,29.932,11.759,1.263,0.777,8.844
2016,2016,4,100.0,7,11.273,45.87,32.556,0.583,0.68,6.414,2.624
2016,2016,5,100.0,7,19.922,48.397,20.991,2.721,1.069,0.194,6.706
2016,2016,6,100.0,7,23.712,31.778,25.462,13.508,0.097,1.361,4.082
2016,2016,7,100.1,7,14.951,36.893,31.942,4.951,1.165,0.097,10.0
2016,2016,8,100.0,7,15.549,40.428,28.183,7.775,1.846,0.097,6.122
2016,2016,9,100.0,7,12.245,39.845,23.712,9.621,2.235,,12.342
2016,2016,10,100.0,7,0.875,45.092,35.86,7.58,1.361,0.194,9.038
2016,2016,11,100.0,7,31.778,40.233,17.687,3.401,1.263,0.389,5.248
2016,2016,12,100.0,7,14.966,11.856,58.406,11.37,0.486,0.389,2.527
2017,2016,1,100.0,7,14.961,38.583,31.004,3.346,0.689,3.051,8.366
2017,2016,2,100.0,7,15.354,48.228,18.504,9.744,,1.181,6.988
2017,2016,3,100.0,7,16.043,31.398,29.921,11.713,0.787,1.28,8.858
2017,2016,4,100.0,7,11.22,45.866,32.579,0.591,6.398,0.689,2.657
2017,2016,5,100.0,7,19.882,48.425,20.965,2.756,0.197,1.083,6.693
2017,2016,6,100.0,7,23.622,31.791,25.492,13.484,1.378,0.197,4.035
2017,2016,7,100.1,7,14.946,36.873,31.957,4.916,0.098,1.278,9.931
2017,2016,8,100.0,7,15.65,40.453,28.15,7.677,0.098,1.87,6.102
2017,2016,9,100.0,7,12.205,39.764,23.819,9.646,,2.165,12.402
2017,2016,10,100.0,7,0.886,45.079,35.827,7.677,0.197,1.28,9.055
2017,2016,11,100.0,7,31.791,40.256,17.618,3.445,0.394,1.28,5.217
2017,2016,12,100.0,7,14.961,11.811,58.465,11.417,0.394,0.492,2.461
2017,2017,1,100.0,7,31.89,34.35,19.882,6.004,,0.787,7.087
2017,2017,2,100.1,7,37.66,30.973,22.222,6.981,0.098,0.295,1.77
2017,2017,3,100.0,7,29.724,43.307,21.161,0.197,0.098,0.787,4.724
2017,2017,4,100.0,7,18.11,39.567,33.366,1.083,2.657,0.886,4.331
2017,2017,5,100.0,7,39.764,38.287,16.634,2.264,0.886,0.197,1.969
2017,2017,6,100.0,7,26.673,57.382,10.827,1.378,0.197,,3.543
2017,2017,7,100.0,7,25.886,30.709,23.524,13.78,0.098,0.787,5.217
2017,2017,8,100.0,7,31.004,41.535,24.213,1.28,0.197,,1.772
2017,2017,9,100.0,7,32.776,35.138,22.146,,0.689,0.689,8.563
2017,2017,10,100.0,7,28.248,32.677,21.358,9.941,2.657,2.264,2.854
2017,2017,11,100.0,7,25.787,26.87,39.862,,,0.197,7.283
2017,2017,12,100.0,7,47.441,38.878,8.465,,1.083,2.953,1.181
2018,2017,1,100.11,7,31.71,34.204,19.952,6.057,0.713,0.238,7.126
2018,2017,2,100.0,7,37.689,31.031,22.233,6.896,0.238,0.119,1.793
2018,2017,3,100.0,7,29.724,43.396,21.044,0.119,0.832,0.119,4.766
2018,2017,4,100.0,7,18.191,39.473,33.409,0.951,0.951,2.616,4.409
2018,2017,5,100.0,7,39.711,38.284,16.645,2.378,0.119,0.832,2.031
2018,2017,6,99.99,7,26.635,57.313,10.82,1.308,0.119,0.357,3.448
2018,2017,7,100.0,7,25.919,30.675,23.541,13.673,0.832,0.119,5.241
2018,2017,8,99.99,7,30.916,41.379,24.019,1.189,0.476,0.238,1.784
2018,2017,9,100.11,7,32.66,35.036,21.853,0.475,0.713,0.713,8.551
2018,2017,10,100.0,7,28.178,32.696,21.401,9.987,2.14,2.616,2.982
2018,2017,11,100.11,7,23.634,24.584,36.342,7.957,0.119,0.594,6.77
2018,2017,12,100.0,7,47.439,38.76,8.56,,2.972,1.07,1.199
2018,2018,1,100.0,7,40.186,21.877,20.569,5.112,,,12.256
2018,2018,2,100.0,7,34.479,30.199,23.303,8.56,,,3.458
2018,2018,3,100.0,7,33.053,33.29,25.206,4.399,,,4.052
2018,2018,4,100.0,7,37.689,24.849,31.15,1.427,,,4.885
2018,2018,5,100.0,7,17.002,41.494,33.053,4.28,,,4.171
2018,2018,6,100.0,7,35.193,38.522,15.694,5.469,,,5.122
2018,2018,7,100.0,7,41.494,34.955,16.17,4.28,,,3.101
2018,2018,8,100.0,7,41.97,42.089,10.225,3.21,,,2.507
2018,2018,9,100.0,7,32.815,42.802,14.505,5.826,,,4.052
2018,2018,10,100.0,7,23.541,44.229,20.093,4.994,,,7.144
2018,2018,11,100.0,7,38.165,32.577,6.301,12.365,,,10.591
2018,2018,12,100.0,7,41.97,38.046,12.722,6.896,,,0.367
2019,2018,1,99.96,6,38.938,21.336,19.928,4.959,0.276,2.663,
2019,2018,2,100.0,6,33.599,29.498,22.766,8.354,0.184,2.203,
2019,2018,3,100.05,6,32.755,32.969,25.048,4.312,0.734,0.092,
2019,2018,4,99.96,6,37.009,24.367,30.489,1.378,1.286,0.735,
2019,2018,5,99.96,6,16.989,41.264,32.693,4.133,0.551,0.184,
2019,2018,6,99.96,6,33.152,36.581,14.877,5.235,4.959,0.367,
2019,2018,7,99.96,6,41.142,34.652,16.071,4.316,0.735,0.092,
2019,2018,8,99.96,6,41.142,41.172,9.918,3.031,1.653,0.551,
2019,2018,9,100.0,6,32.313,42.075,14.321,5.692,1.193,0.459,
2019,2018,10,99.96,6,22.867,43.009,19.653,4.959,2.204,0.367,
2019,2018,11,100.0,6,38.005,32.528,6.151,12.301,0.367,0.092,
2019,2018,12,100.0,6,41.769,37.852,12.668,6.793,0.367,0.184,
2019,2019,1,99.96,6,51.519,26.571,11.755,4.959,1.745,,
2019,2019,2,100.0,6,47.552,20.043,10.557,0.643,3.58,0.184,
2019,2019,3,99.96,6,35.081,32.448,19.377,4.316,2.204,,
2019,2019,4,99.96,6,43.713,32.54,13.959,2.663,1.745,0.092,
2019,2019,5,100.0,6,49.939,21.971,20.747,1.469,0.092,0.092,
2019,2019,6,99.96,6,38.019,35.662,21.489,1.01,0.643,0.643,
2019,2019,7,99.96,6,47.111,36.673,8.541,3.857,0.276,2.755,
2019,2019,8,99.96,6,12.673,56.968,21.948,1.01,4.408,,
2019,2019,9,100.0,6,31.028,38.035,19.553,6.977,1.652,0.184,
2019,2019,10,99.96,6,37.928,31.254,13.5,5.877,0.643,1.286,
2019,2019,11,99.96,6,33.703,39.887,17.908,3.306,0.276,0.184,
2019,2019,12,100.05,6,58.445,41.043,,,0.092,,
2020,2019,1,99.93,7,51.574,26.57,11.744,4.893,1.762,,3.458
2020,2019,2,100.0,7,47.628,20.0,10.562,0.685,3.521,0.196,17.408
2020,2019,3,99.93,7,35.133,32.442,19.377,4.306,2.153,,6.589
2020,2019,4,99.93,7,43.647,32.54,13.994,2.642,1.762,0.098,5.317
2020,2019,5,100.1,7,49.829,21.935,20.811,1.466,0.098,0.098,5.765
2020,2019,6,99.93,7,37.971,35.671,21.53,0.979,0.685,0.587,2.577
2020,2019,7,99.93,7,47.17,36.65,8.514,3.915,0.196,2.74,0.816
2020,2019,8,99.93,7,12.624,57.005,21.921,1.076,4.306,,3.066
2020,2019,9,100.0,7,31.002,37.995,19.56,7.042,1.663,0.196,2.543
2020,2019,10,99.93,7,37.873,31.267,13.505,5.872,0.685,1.272,9.525
2020,2019,11,99.93,7,33.665,39.879,17.909,3.425,0.196,0.196,4.73
2020,2019,12,100.03,7,58.367,41.111,,,0.098,,0.424
2020,2020,1,99.93,7,37.482,41.739,11.548,3.817,1.37,0.685,3.36
2020,2020,2,99.93,7,25.64,37.628,26.423,3.817,1.957,1.272,3.262
2020,2020,3,99.94,7,24.953,26.078,36.011,7.926,0.921,,4.11
2020,2020,4,99.93,7,18.692,33.616,36.797,5.676,1.664,0.196,3.36
2020,2020,5,100.0,7,38.533,34.67,15.941,3.814,0.489,0.098,6.455
2020,2020,6,99.93,7,35.72,47.806,13.799,0.098,0.685,1.174,0.718
2020,2020,7,99.93,7,45.898,22.166,27.304,,0.391,0.391,3.849
